,Player,Movements,Times,In-FavorTiles,Heuristic
0,PC1,D3,0.30800461769104004,4,3
1,PC2,C5,0.3840491771697998,3,0
2,PC1,E6,0.7330007553100586,5,3
3,PC2,D2,1.2049870491027832,5,-2
4,PC1,B5,1.2464182376861572,6,3
5,PC2,F5,1.3859052658081055,5,0
6,PC1,D1,2.2789251804351807,9,7
7,PC2,A5,2.502092123031616,7,-2
8,PC1,C4,3.8478968143463135,7,1
9,PC2,E2,5.064934492111206,9,-4
10,PC1,F3,6.507404804229736,8,1
11,PC2,F1,5.075507164001465,9,-2
12,PC1,F2,5.276536226272583,9,1
13,PC2,D7,3.4842522144317627,10,-2
14,PC1,A6,4.852659225463867,12,5
15,PC2,C2,2.588710069656372,10,0
16,PC1,B2,3.3143255710601807,12,3
17,PC2,B1,6.272793292999268,11,0
18,PC1,A4,3.6314077377319336,13,3
19,PC2,A2,4.917744159698486,12,0
20,PC1,B6,2.705796480178833,14,3
21,PC2,G2,3.2500648498535156,16,-6
22,PC1,B3,2.3421034812927246,12,-3
23,PC2,C3,1.9942762851715088,17,-6
24,PC1,H2,6.540832996368408,16,3
25,PC2,B4,8.084341049194336,16,-2
26,PC1,F4,10.523698568344116,20,9
27,PC2,H3,11.143544912338257,13,6
28,PC1,A1,9.765152215957642,22,11
29,PC2,H1,6.846127510070801,13,8
30,PC1,C1,8.32355546951294,23,11
31,PC2,B7,2.835021495819092,16,4
32,PC1,A3,9.306268692016602,24,11
33,PC2,E3,2.423536539077759,17,4
34,PC1,A7,7.5047993659973145,26,13
35,PC2,G3,3.6067638397216797,17,6
36,PC1,C6,6.604284763336182,25,9
37,PC2,G1,1.5824334621429443,18,6
38,PC1,G6,2.7549655437469482,28,13
39,PC2,G5,1.6253249645233154,17,10
40,PC1,G4,3.347532272338867,31,17
41,PC2,E1,2.2285256385803223,16,14
42,PC1,D6,2.510171890258789,32,17
43,PC2,H6,1.8054883480072021,18,12
44,PC1,F7,3.664215087890625,32,15
45,PC2,H5,2.266819953918457,20,10
46,PC1,H4,1.8260040283203125,33,15
47,PC2,C7,2.5461528301239014,22,8
48,PC1,A8,2.677088499069214,32,11
49,PC2,E8,1.1615893840789795,24,6
50,PC1,G8,0.8401262760162354,32,9
51,PC2,F6,0.2069995403289795,25,6
52,PC1,E7,0.4807586669921875,39,21
53,PC2,C8,0.18208694458007812,21,16
54,PC1,G7,0.1430821418762207,39,19
55,PC2,F8,0.06799674034118652,24,12
56,PC1,D8,0.028000354766845703,40,19
57,PC2,H8,0.011996746063232422,26,10
58,PC1,H7,0.002000093460083008,41,19
59,PC2,B8,0.0009989738464355469,26,12
60,PC1,ND,0.0009210109710693359,38,12
