,Player,Movements,Times,In-FavorTiles,Heuristic
0,PC1,D3,0.20299983024597168,4,3
1,PC2,C5,0.2783784866333008,3,0
2,PC1,E6,0.5852615833282471,5,3
3,PC2,D2,0.8425161838531494,5,-2
4,PC1,B5,1.0173718929290771,6,3
5,PC2,F5,1.0388989448547363,5,0
6,PC1,D1,1.9605417251586914,9,7
7,PC2,A5,2.3395836353302,7,-2
8,PC1,C4,3.6164305210113525,7,1
9,PC2,E2,5.480178594589233,9,-4
10,PC1,F3,6.699130058288574,8,1
11,PC2,F1,4.740799903869629,9,-2
12,PC1,F2,5.361860036849976,9,1
13,PC2,D7,3.4877512454986572,10,-2
14,PC1,A6,5.064415454864502,12,5
15,PC2,C2,2.628190517425537,10,0
16,PC1,B2,3.060361862182617,12,3
17,PC2,B1,6.099282503128052,11,0
18,PC1,A4,3.7128496170043945,13,3
19,PC2,A2,4.891392469406128,12,0
20,PC1,B6,2.6945371627807617,14,3
21,PC2,G2,3.2462620735168457,16,-6
22,PC1,B3,2.4464797973632812,12,-3
23,PC2,C3,2.164041042327881,17,-6
24,PC1,H2,6.201950550079346,16,3
25,PC2,B4,7.338317155838013,16,-2
26,PC1,F4,7.6977221965789795,20,9
27,PC2,H3,8.662538290023804,13,6
28,PC1,A1,7.249131202697754,22,11
29,PC2,H1,8.384995460510254,13,8
30,PC1,C1,8.194833517074585,23,11
31,PC2,B7,2.005417823791504,16,4
32,PC1,A3,10.816486358642578,24,11
33,PC2,E3,3.3484184741973877,17,4
34,PC1,A7,9.101287603378296,26,13
35,PC2,G3,3.242380142211914,17,6
36,PC1,C6,7.087869644165039,25,9
37,PC2,G1,1.4886767864227295,18,6
38,PC1,G6,3.1422455310821533,28,13
39,PC2,G5,2.2046587467193604,17,10
40,PC1,G4,4.228835821151733,31,17
41,PC2,E1,3.530383586883545,16,14
42,PC1,D6,3.148949146270752,32,17
43,PC2,H6,2.3818519115448,18,12
44,PC1,F7,4.739389181137085,32,15
45,PC2,H5,2.6855411529541016,20,10
46,PC1,H4,2.0094926357269287,33,15
47,PC2,C7,3.6020820140838623,22,8
48,PC1,A8,3.2424895763397217,32,11
49,PC2,E8,1.6813535690307617,24,6
50,PC1,G8,1.2404601573944092,32,9
51,PC2,F6,0.24098801612854004,25,6
52,PC1,E7,0.47089099884033203,39,21
53,PC2,C8,0.21317768096923828,21,16
54,PC1,G7,0.1560046672821045,39,19
55,PC2,F8,0.08813643455505371,24,12
56,PC1,D8,0.034999847412109375,40,19
57,PC2,H8,0.0189969539642334,26,10
58,PC1,H7,0.0029115676879882812,41,19
59,PC2,B8,0.0020003318786621094,26,12
60,PC1,ND,0.0009913444519042969,38,12
