,Player,Movements,Times,In-FavorTiles,Heuristic,Actions expanded
0,PC1,D3,1.0705420970916748,4,3,1708
1,PC2,C5,1.3522965908050537,3,0,2474
2,PC1,E6,5.087934970855713,5,3,5504
3,PC2,D2,7.857012033462524,5,-2,9861
4,PC1,B5,8.345651626586914,6,3,11318
5,PC2,F5,9.554329872131348,5,0,11721
6,PC1,D1,18.915577173233032,9,7,20055
7,PC2,A5,17.28317165374756,7,-2,19825
8,PC1,C4,33.17977237701416,7,1,30713
9,PC2,E2,68.27564978599548,9,-4,54483
10,PC1,F3,87.85784125328064,8,1,71593
11,PC2,F1,59.03807854652405,9,-2,46667
12,PC1,F2,84.07012248039246,9,1,64745
13,PC2,D7,50.084662675857544,10,-2,37668
14,PC1,A6,54.73028540611267,12,5,44485
15,PC2,C2,62.42502689361572,10,0,41937
16,PC1,B2,137.40101623535156,12,3,91265
17,PC2,B1,127.99766325950623,11,0,91275
18,PC1,A4,129.27823209762573,13,3,84097
19,PC2,A2,76.31787347793579,12,0,51114
20,PC1,B6,65.81631469726562,14,3,40869
21,PC2,G2,45.766586780548096,16,-6,27048
22,PC1,B3,39.98338580131531,12,-3,29398
23,PC2,C3,34.433953285217285,17,-6,20287
24,PC1,H2,109.12446880340576,16,3,65469
25,PC2,B4,117.99153876304626,16,-2,77906
26,PC1,F4,98.77350306510925,20,9,61798
27,PC2,H3,99.90059328079224,13,6,81331
28,PC1,A1,117.15472960472107,22,11,77471
29,PC2,H1,84.68407249450684,13,8,58319
30,PC1,C1,65.82163691520691,23,11,40512
31,PC2,B7,39.31453251838684,16,4,26618
32,PC1,A3,125.63139295578003,24,11,83860
33,PC2,E3,33.333593130111694,17,4,21386
34,PC1,A7,122.77845907211304,26,13,75902
35,PC2,G3,30.36531376838684,17,6,20538
36,PC1,C6,46.49026441574097,25,9,34914
37,PC2,G1,12.23332142829895,18,6,6726
38,PC1,G6,20.689180374145508,28,13,14211
39,PC2,G5,14.67386507987976,17,10,9583
40,PC1,G4,37.55619835853577,31,17,20995
41,PC2,E1,15.918606996536255,16,14,11230
42,PC1,D6,21.78956913948059,32,17,14898
43,PC2,H6,16.63501262664795,18,12,12082
44,PC1,F7,33.64448380470276,32,15,22541
45,PC2,H5,25.372518062591553,20,10,18005
46,PC1,H4,13.94002366065979,33,15,9556
47,PC2,C7,14.162209510803223,22,8,9830
48,PC1,A8,13.758019924163818,32,11,9038
49,PC2,E8,4.700244665145874,24,6,3606
50,PC1,G8,3.8440656661987305,32,9,2198
51,PC2,F6,0.845496654510498,25,6,592
52,PC1,E7,1.69793701171875,39,21,834
53,PC2,C8,0.5806512832641602,21,16,344
54,PC1,G7,0.2960033416748047,39,19,155
55,PC2,F8,0.11958432197570801,24,12,71
56,PC1,D8,0.054001808166503906,40,19,28
57,PC2,H8,0.031000137329101562,26,10,9
58,PC1,H7,0.0049896240234375,41,19,1
59,PC2,B8,0.0020017623901367188,26,12,0
60,PC1,ND,0.0009961128234863281,38,12,0
