,Player,Movements,Times,In-FavorTiles,Heuristic,Actions expanded
0,PC1,D3,0.2039813995361328,4,3,430
1,PC2,C5,0.2780797481536865,3,0,568
2,PC1,E6,0.5698292255401611,5,3,1092
3,PC2,D2,0.798346996307373,5,-2,1491
4,PC1,B5,0.9733917713165283,6,3,1774
5,PC2,F5,0.8270435333251953,5,0,1484
6,PC1,D1,1.5603597164154053,9,7,2533
7,PC2,A5,1.9323310852050781,7,-2,3358
8,PC1,C4,2.725963592529297,7,1,4348
9,PC2,E2,3.8238203525543213,9,-4,5637
10,PC1,F3,5.013729810714722,8,1,7638
11,PC2,F1,4.491098642349243,9,-2,6381
12,PC1,F2,5.336888790130615,9,1,7163
13,PC2,D7,3.5253424644470215,10,-2,4684
14,PC1,A6,4.833266735076904,12,5,6612
15,PC2,C2,2.50544810295105,10,0,3174
16,PC1,B2,3.086916446685791,12,3,3822
17,PC2,B1,5.819097280502319,11,0,7245
18,PC1,A4,3.470637559890747,13,3,3955
19,PC2,A2,4.723644495010376,12,0,5610
20,PC1,B6,2.7054100036621094,14,3,3170
21,PC2,G2,3.2686662673950195,16,-6,3620
22,PC1,B3,2.4388787746429443,12,-3,2938
23,PC2,C3,2.0611307621002197,17,-6,2269
24,PC1,H2,5.939234256744385,16,3,7133
25,PC2,B4,7.596623659133911,16,-2,8589
26,PC1,F4,8.000020265579224,20,9,8262
27,PC2,H3,7.727916240692139,13,6,8735
28,PC1,A1,6.583064079284668,22,11,6906
29,PC2,H1,5.33585786819458,13,8,6119
30,PC1,C1,5.735713243484497,23,11,6529
31,PC2,B7,1.6734862327575684,16,4,1750
32,PC1,A3,8.038013219833374,24,11,9000
33,PC2,E3,2.3556368350982666,17,4,2400
34,PC1,A7,7.169683218002319,26,13,7594
35,PC2,G3,2.4799232482910156,17,6,2799
36,PC1,C6,4.6093809604644775,25,9,5594
37,PC2,G1,0.7960124015808105,18,6,879
38,PC1,G6,2.0872185230255127,28,13,2540
39,PC2,G5,1.3964097499847412,17,10,1577
40,PC1,G4,3.352120876312256,31,17,3742
41,PC2,E1,1.9798438549041748,16,14,2218
42,PC1,D6,2.2236597537994385,32,17,2669
43,PC2,H6,1.783686876296997,18,12,2004
44,PC1,F7,3.5691394805908203,32,15,4000
45,PC2,H5,2.0958030223846436,20,10,2503
46,PC1,H4,1.841521978378296,33,15,1788
47,PC2,C7,2.491985559463501,22,8,2774
48,PC1,A8,2.362849235534668,32,11,2743
49,PC2,E8,1.1306490898132324,24,6,1288
50,PC1,G8,0.8513848781585693,32,9,917
51,PC2,F6,0.200117826461792,25,6,218
52,PC1,E7,0.42146897315979004,39,21,486
53,PC2,C8,0.17222857475280762,21,16,210
54,PC1,G7,0.11799907684326172,39,19,130
55,PC2,F8,0.08000040054321289,24,12,61
56,PC1,D8,0.03099966049194336,40,19,24
57,PC2,H8,0.013000965118408203,26,10,7
58,PC1,H7,0.0030045509338378906,41,19,1
59,PC2,B8,0.0018992424011230469,26,12,0
60,PC1,ND,0.0,38,12,0
