,Player,Movements,Times
0,P1,D3,-6.2191033363342285
1,PC,E3,-0.42801451683044434
2,P1,D6,-5.681272506713867
3,PC,G3,-0.9930431842803955
4,P1,B5,-12.522314310073853
5,PC,E1,-1.777897834777832
6,P1,C6,-6.240259170532227
7,PC,B4,-1.7421236038208008
8,P1,E6,-11.564820051193237
9,PC,D6,-3.8995211124420166
10,P1,C5,-64.82941102981567
11,PC,C3,-6.3591225147247314
12,P1,B3,-21.755764484405518
13,PC,C1,-3.933159351348877
14,P1,A6,-29.589483976364136
15,PC,G6,-5.8185999393463135
16,P1,E2,-16.49202537536621
17,PC,D2,-7.729351282119751
18,P1,A4,-12.531598567962646
19,PC,G1,-5.18796181678772
20,P1,F5,-46.07340693473816
21,PC,E7,-11.844189167022705
22,P1,G6,-14.256609439849854
23,PC,A6,-9.801615238189697
24,P1,F3,-24.76649045944214
25,PC,D7,-4.621254920959473
26,P1,E8,-32.09150528907776
27,PC,H7,-0.9335770606994629
28,P1,G3,-18.613881826400757
29,PC,C8,-3.8013317584991455
30,P1,G2,-41.643022298812866
31,PC,B8,-5.603459358215332
32,P1,D1,-22.478044271469116
33,PC,B6,-7.481777667999268
34,P1,D7,-92.89035868644714
35,PC,B3,-14.723210096359253
36,P1,B1,-23.167189836502075
37,PC,A3,-14.276551723480225
38,P1,H1,-24.70879578590393
39,PC,H4,-11.838154792785645
40,P1,B7,-28.147751331329346
41,PC,A7,-12.267597675323486
42,P1,C8,-23.624644994735718
43,PC,H1,-8.748975276947021
44,P1,E1,-49.09702706336975
45,PC,F6,-2.4337685108184814
46,P1,H4,-15.08966875076294
47,PC,A1,-2.704503059387207
48,P1,B2,-24.20093321800232
49,PC,B1,-1.251274824142456
50,P1,E7,-17.09998106956482
51,PC,H2,-0.6262552738189697
52,P1,B6,-18.60581636428833
53,PC,F8,-0.24700450897216797
54,P1,G7,-10.292383670806885
55,PC,H6,-0.07823896408081055
56,P1,H7,-9.869658708572388
57,PC,E8,-0.0070018768310546875
58,P1,E3,-10.151281833648682
59,PC,H8,-0.0009613037109375
