,Player,Movements,Times,In-FavorTiles,Heuristic
0,PC2,C4,0.29099559783935547,4,6
1,PC1,E3,0.33523011207580566,3,-4
2,PC2,F2,0.717334508895874,5,8
3,PC1,B4,1.0300793647766113,5,-8
4,PC2,E6,1.3125746250152588,6,8
5,PC1,G1,0.9300286769866943,6,-7
6,PC2,A4,0.8333127498626709,8,6
7,PC1,E7,0.3730182647705078,7,-6
8,PC2,F3,1.5099081993103027,7,8
9,PC1,B3,2.183154821395874,9,-11
10,PC2,E8,4.9693028926849365,9,12
11,PC1,F4,2.3009181022644043,10,-9
12,PC2,A2,2.852031946182251,10,9
13,PC1,C6,1.1590805053710938,9,-4
14,PC2,G3,2.212995767593384,11,10
15,PC1,H3,5.356932640075684,10,-6
16,PC2,H2,2.7976791858673096,12,11
17,PC1,H1,6.289734363555908,11,-7
18,PC2,E1,3.2146084308624268,13,8
19,PC1,F1,3.4409990310668945,12,-8
20,PC2,E2,2.268191337585449,15,10
21,PC1,D1,4.005071401596069,13,-7
22,PC2,B7,1.2732644081115723,16,9
23,PC1,A8,1.4139165878295898,16,-11
24,PC2,C5,0.5549638271331787,15,3
25,PC1,C3,2.529919385910034,17,-13
26,PC2,B2,4.194828271865845,15,4
27,PC1,A3,4.367991209030151,18,-16
28,PC2,G2,4.370704412460327,17,6
29,PC1,G4,9.581619262695312,23,-23
30,PC2,B5,4.33331298828125,14,-2
31,PC1,A1,8.612327814102173,25,-22
32,PC2,C2,4.08336329460144,14,-3
33,PC1,D3,5.542916297912598,27,-25
34,PC2,D7,2.5551044940948486,13,-9
35,PC1,A5,3.1991889476776123,29,-28
36,PC2,B1,1.0039701461791992,15,-8
37,PC1,C1,3.274252414703369,30,-25
38,PC2,D2,0.5749971866607666,16,-8
39,PC1,A6,2.6693129539489746,31,-24
40,PC2,B6,0.7523307800292969,15,-12
41,PC1,D6,2.8184826374053955,38,-34
42,PC2,B8,1.3750417232513428,11,-21
43,PC1,A7,3.0371041297912598,38,-34
44,PC2,F5,0.9862699508666992,14,-19
45,PC1,C8,1.9629151821136475,41,-35
46,PC2,F7,0.37199926376342773,11,-26
47,PC1,F6,0.6160118579864502,43,-38
48,PC2,C7,0.7331743240356445,12,-26
49,PC1,D8,0.5979905128479004,45,-39
50,PC2,F8,0.4329965114593506,12,-28
51,PC1,G8,0.2664456367492676,47,-38
