,Player,Movements,Times,In-FavorTiles,Heuristic
0,PC1,C4,0.2820894718170166,4,6
1,PC2,E3,0.34106874465942383,3,-4
2,PC1,F2,0.6879994869232178,5,8
3,PC2,B4,1.0469391345977783,5,-8
4,PC1,E6,1.3569977283477783,6,8
5,PC2,G1,0.982001781463623,6,-7
6,PC1,A4,0.8752498626708984,8,6
7,PC2,E7,0.40199875831604004,7,-6
8,PC1,F3,1.6071982383728027,7,8
9,PC2,B3,2.3233084678649902,9,-11
10,PC1,E8,5.159555196762085,9,12
11,PC2,F4,2.6953048706054688,10,-9
12,PC1,A2,3.2915797233581543,10,9
13,PC2,C6,1.2429938316345215,9,-4
14,PC1,G3,2.341447353363037,11,10
15,PC2,H3,5.716987133026123,10,-6
16,PC1,H2,3.2691988945007324,12,11
17,PC2,H1,6.848256349563599,11,-7
18,PC1,E1,3.365993022918701,13,8
19,PC2,F1,3.7239084243774414,12,-8
20,PC1,E2,2.334265947341919,15,10
21,PC2,D1,4.574573755264282,13,-7
22,PC1,B7,1.3997151851654053,16,9
23,PC2,A8,1.5599966049194336,16,-11
24,PC1,C5,0.5850846767425537,15,3
25,PC2,C3,2.775547742843628,17,-13
26,PC1,B2,4.4302122592926025,15,4
27,PC2,A3,4.596890211105347,18,-16
28,PC1,G2,4.5617430210113525,17,6
29,PC2,G4,10.009321928024292,23,-23
30,PC1,B5,4.76494836807251,14,-2
31,PC2,A1,9.457310199737549,25,-22
32,PC1,C2,4.304524898529053,14,-3
33,PC2,D3,5.717404365539551,27,-25
34,PC1,D7,2.661268711090088,13,-9
35,PC2,A5,3.463089942932129,29,-28
36,PC1,B1,1.1200027465820312,15,-8
37,PC2,C1,3.6673169136047363,30,-25
38,PC1,D2,0.6340963840484619,16,-8
39,PC2,A6,2.7891886234283447,31,-24
40,PC1,B6,0.7821152210235596,15,-12
41,PC2,D6,3.114891767501831,38,-34
42,PC1,B8,1.5954225063323975,11,-21
43,PC2,A7,3.2471044063568115,38,-34
44,PC1,F5,0.9900016784667969,14,-19
45,PC2,C8,2.128466844558716,41,-35
46,PC1,F7,0.37407922744750977,11,-26
47,PC2,F6,0.6240026950836182,43,-38
48,PC1,C7,0.8399984836578369,12,-26
49,PC2,D8,0.5952610969543457,45,-39
50,PC1,F8,0.4499998092651367,12,-28
51,PC2,G8,0.29825520515441895,47,-38
